Query SMILE,Closest Match,LSH Distance,Actual Distance,Tanimoto Similarity
C1=CC=C(C(=O)(N))C=C1CC(=O)NC(=O)C2=CC3=CC(C(=O)(N))=CC=C3C(=C(N))2,No matches found,,,
O=C(C(=C)CC1=CC=CC(C(=C)N)=C1)CCC(C)=C(C(=O)N)C2=CC=C(C(=O)O)C=C2,No matches found,,,
C=C(C1=CC=CC=C1)CC2=CC=CC=C2C(C(=O)C)CC3=CC=CC(C(=O)(C(N)))=C3,No matches found,,,
CC1=CC=CC=C1C(=O)NC=CC2=CC=C(C)N=C2CC(=O)CC3=CC(C(=O)O)=CC=C3,No matches found,,,
C(C(=O)(N))=CC1=CC=CC=C1CC(=C)C2=C(C)C3=CC=C(C(=O)(N))C=C3C(=O)2,No matches found,,,
O=C(CC1=CC(C(N))=CC=C1)C(C)C2=CC=CC=C2CC3=CC=C(N)C(C(=O)N)=C3,No matches found,,,
O=C(C1=CC=C(C(=O)C)C=C1)NC2=NN=C(N)CN2C=CC3=CC=CC(C(C(=O)(N)))=C3,No matches found,,,
C(C(=O)(N))#CC1=CC=C(C(=O)C(C(C(=O)N)))C=C1CC(=O)C2=CC3=CC=CC=C3C2,No matches found,,,
O=C(CC1=CC=CC=C1)NCC=CC2=C(C(=C(N))N)C=CC=C2CC(=O)CCC,No matches found,,,
O=C(CC1=CC=CC=C1)C(=C)C2=CC=CC=C2CC3=CCCC(C(=O)C(=O)(N))=C3,No matches found,,,
O=C(C1=CC(N)=CN=C1NC(=O)C2=CC=C(C(=O)O)C2)CCCC3CCCCC3,No matches found,,,
CC1=CC=C(N)C=C1CC2=CC=CC=C2CCC(C)CC3=C(N)C(N)=CC=C3,No matches found,,,
O=C(CCC1=CC=CC2=C1C=C(C(=O)N)C=C(N)2)NC3=CC(=N)CCC3,No matches found,,,
O=C(CC1=C(C)C2=CC=CC=C2C(=O)1)NC=CC3=CC4=CC(C(=O)C)=CC=C4N3,No matches found,,,
O=C(CC1=CC(N)=CC=C1)C(C)C2=CC=CC=C2CC3=CC=C(N)C(C(=O)N)=C3,No matches found,,,
O=C(CCC1=CC=CC=C(N)1)NCC2CC(=O)C3=CC=CC(C(=C)N)=C3C=2,No matches found,,,
O=C(CC1=CC=CC=C1)NCC=CC2=C(C(=O)O)C=CC(=C2)CC(=O)CCC(N)C,No matches found,,,
CCC(N)C1=CC=CC(C(=O)C)=C1CCNC(=O)CC2=CC3=CC=CC=C3S2,No matches found,,,
O=C(N)C1=CC=CC=C1CCC2=CC=CC=C2C(=C)C(C3)CCC(C(=C(C(=O)(N)))N)C3,No matches found,,,
CCC1=CC(N)=C(C(=O)N)C=C1CC(=O)C=C(C(=O)NC)C2=CC=C(C)C=C2,No matches found,,,
CC1=C(C(=C)N)C=CC=C1CCC=C(CCNC(=O)C(N))CC2=CC=CC=C2C,No matches found,,,
CN(C1=CC=C(C(=C)N)C=C1)C(=O)C2=CC=CC=C2C=CC3=CCCC(C)=C3,No matches found,,,
O=C(CC1=CC=CC=C1)NCC2=CC=CC=C2CC(=C(=O))CC3=CC(=O)CC=C3,No matches found,,,
CN(CC1=CC(C(=O)(N))=CC=C1)C(=O)CC(C)C2=CC=CC=C2NC3=CC=CC=C3,No matches found,,,
CC(N)(C)C1=CC=CC=C1CCCCC2=CC=CC=C2NC3=C(N)C=CCC3,No matches found,,,
O=C(NCC1=CC(N)=CC=C1)CC2=C(C(=O)C(N))C(=C)CC3=CC=CC=C23,No matches found,,,
CC1=CC=CC=C1CC(N)=CC(=O)CC2=CC(N)=NN=C2C3=CC=CC(C(=O)N)=C3,No matches found,,,
NC1=CC(C(=O)(N))=CC2=C1CC(=C)C(=O)N2CCC(=O)NC3=NC=CC(C)=C3,No matches found,,,
O=C(NC1=CC=CC=C1)C=CC(=O)C2=CC=CC3=C2C=CC=C(C(=C)C(=O)(N))3,No matches found,,,
CC(N)(C)C1=CC=CC=C1CCN(C(=O)C(=O)(N))CCC=CC2=CC=CN=C(N)2,No matches found,,,
C(C(=O)N)C1=CC=C(C(=C)C(C(=O)N))C=C1CC(=O)C2=CC3=CC=CC=C3C2,No matches found,,,
C(=O)(CC1=CC=CC(C(=C)N)=C1C)CC=CC=CC2=CC=CC(C(=O)(N))=C2,No matches found,,,
CC(N)(C)C1=CC=CC=C1CCC(=C(C))CC=C(C)C2=CC=C(C)C=C2,No matches found,,,
O=C(C(N)=CC1=CC=CC=C1)CC=C(C(=O)N)CC=CC2=CC(C(=O)N)=CC=C2,No matches found,,,
C(C(=O)N)=C(NC1=CC=CC=C1)C(=O)C2=CCC=C2CC3=CC=CC(C(=O)N)=C3,No matches found,,,
O=C(CCC1=CC=CC=C1)NCC=2C(=O)CC3=CC=CC(C(=C(N))N)=C3C=2,No matches found,,,
O=C(C1=CC=CC(N)=C1)NC2=CC=CC=C2C=CC3=C(C(=O)N)CCC(C(=O))=C3,No matches found,,,
O=C(CC1=CC(C(=O)N)=CC=C1)C=CC=C2C=CC=C(C(C(C(=O)N)))C2=C,No matches found,,,
CC1=CC=C(C(=O)N)C=C1NC(=O)CC=C2C(C(=O)C)=C(N)C=C2CCCCC,No matches found,,,
CC(N)(C)C1=CC=CC=C1CCC=C(C(=O)C)CCC=CC2=CN=C(N)C=C2,No matches found,,,
O=C(CC1=CC=C(N)C(C(=O)N)=C1)N2C=C(C(O))CC(C3=CC=C(C(=O)C)C=C3)=C2,No matches found,,,
O=C(CC1=CC=CC=C1)NCCC=C2C=CC3=CC(N)=C(C(=O)N)C=C3C2,No matches found,,,
C(N)C1=CC=CC=C1CCC2=CC=CC=C2C=CC=CC(C(N))=C(N)C,No matches found,,,
NC1=CC=C(N)C=C1CC2=CC=CC=C2CCC(=O)C3=CC=C(C(N))CC3,No matches found,,,
C(=O)(N)CC1=CC=CC(C(=O)C)=C1CC=C(C)C(=O)C=C(N)C2=CC=CC=C2C,No matches found,,,
C(CC(=C(=O)))=C(CC1=CC=CC=C1C)C2=CC(C(=O)N)=CC3=CC(C(=O)N)=CC=C32,No matches found,,,
CCC(=O)C=C(N)C1=CC=CC(C(=O)N)=C1C(=O)C(C)=CC(=O)C2=CC=C(C)C=C2,No matches found,,,
O=C(CC1=CC2=CC=CC=C2C(=O)1)NCC3=CC=CC4=C3NC(=C)CC(=O)4,No matches found,,,
CC(N)(C)C1=CC=CC=C1CCC=CC2=CC(=O)CC=C2NC3=CC=CC=C3,No matches found,,,
O=C(NC1=CC=CC=C1N)CCCC2=CC(=C(=O))C3=CC=C(C(C(N)))C=C32,No matches found,,,
C=C(N)C1=CC=CC(C(=O)C)=C1CCNC(=O)CC2=CC3=CC=CC=C3C2=O,No matches found,,,
O=C(CC1=CC=CC=C1)NCCCC2=CC=CC3=C2CC(=C(=C(N)))CC3,No matches found,,,
NC(=O)C1=CC=CC(C(=O)C)=C1CC=CC2=C(C(=O)C)C=CC=C2C=CC3=CC=CO3,No matches found,,,
CC1=CC=CC=C1CNC(=O)CC(C(=O)O)=C2C(=O)CC3=CC=C(C(=O)N)C=C3[CH1]2,No matches found,,,
O=C(CC1=CC=C(C)C=C1)NCC2=CC=CC=C2C3CC(=O)NC(N)=C3,No matches found,,,
CC(CC1=CC(C(=O)N)=CC=C1)=C(C)CC(=O)NC=CC2=CC=CC(N)=C2,No matches found,,,
O=C(CC1=CC=CC=C1)NCC2=CC=CC=C2C3CCCC(C(=O)(N))=C3,No matches found,,,
CC1=C(C(=O)N)C=CC=C1CCCCC=CC2=CN=C(N3CCC(N)C3)C=C2,No matches found,,,
O=C(CC1=CC=CC=C1)NCC2=CC=CC(=C2)CC3=CCCC(C(=C(N))N)=C3,No matches found,,,
CC1=C(C(=O)N)C=CC=C1CCCC(=C(N))C=CC2=CC3=CC=CC=C3S2,No matches found,,,
O=C(C(N)(N)C1=CC=CC=C1)NCC=CC2=CC=CC=C2C=C(N)CC,No matches found,,,
O=C(CC1=CC=CC=C1)NC(=O)CCC(C(=O)O)=CCC(=O)CC2=CN=CC3=C2CCC3,No matches found,,,
NC1=CC=C(N)C=C1CC2=CC=CC=C2CCC(C)CC3=CC=CC(N)=C3,No matches found,,,
ClC1=C(C(=O)N)C=CC=C1CCC(=O)CCC=CC2=C(C(=O)N)C3=CC=CC=C3C2,No matches found,,,
C(=O)=C(CC1=CC=CC=C1)C(=O)NC=CC2=CC3=CC=CC(C(=C)N)=C3C=C2,No matches found,,,
O=C(CC1=CC=CC=C(C(=O)N)1)N2CCC(=C(C(=O)O))C(C3=CC=CC(N)=C3)=C2,No matches found,,,
C(C(=O)C)=C(CC1=CC(C(=O)N)=CC=C1)N2CCC(C(=O)O)=C(C3=CC=C(C(=O)O)C=C3)C2,No matches found,,,
C=C(CC1=CC=C(C(=C(N))C(N))C=C1)NC2CCC(C3=CC=CC(C(=O)C(C))=C3)CC2,No matches found,,,
CN(CC1=CC(C(=O)N)=CC=C1)C(=O)C2=CC=NC=C2CC3=CC(N)=CC(=O)C(=O)3,No matches found,,,
CC(N)(C)C1=CC=CC=C1NSC2=CC=CC=C2C3=CC(C(=O)N)=CC(F)=C3,No matches found,,,
C(C(=O)N)=C(CC1=CC(C(=O)C)=CC=C1)N2CCC(C(=O)N)=C(C3=CC=CC=C3)C2,No matches found,,,
O=C(CC1=CC=CC=C1)N2CCCN(C3=CC=CC(C(=C(C(=O)C(N)))C(N))=C3)C(=O)2,No matches found,,,
CC1=C(C(=O)N)C=CC=C1CCC2=CC=CC=C2C=CC=CC(Cl)=CCNC,No matches found,,,
O=C(NCC1=CC=CC=C1)CCC2CCC3=C(N(C(=O)C(C(C))))C=CC=C3S2,No matches found,,,
O=C(CC1=CC=CC=C1)NCCC=CC2=CC3=CC=C(C(=O)C(C(C)))C=C3C2=O,No matches found,,,
CN(CC1=CC=CC(C(=O)N)=C1)C(=O)CNC2=CC=CC=C2C(N)C3=CC=CC=C3,No matches found,,,
CC1=CC=CC=C1CC(=O)NC(=O)CNC2CC(=O)C3=CC=CC(C(=O)N)=C3C2,No matches found,,,
CC1=C(C(=O)O)C=CC=C1CCCC(=C(N))C=CC2=CN=C(C3CCCC3)C=C2,No matches found,,,
CC1=CC=CC=C1CNC(=O)CNCC2CC(=O)[NH1]C3=CC=C(C(=O)N)C=C32,No matches found,,,
CCCCCC1=CC=CC=C1N2CCCC(C3=CC=CC(C(=O)C(N))=C3)C2=O,No matches found,,,
O=C(CC1=CC=CC=C1)NCC2=CC(C(N))=CC(N)=C2[CH1]C=CC3=CC=CC=C3,No matches found,,,
CC1=C(C(=O)N)C=CC=C1CCCCC(=N)C=CC2=CC3=CC=CC=C3C2,No matches found,,,
O=C(CC1=CC=CC=C1)NC(=O)NCC2=CC=CC(=C2)C3CCC=C(C(C(=O)N))3,No matches found,,,
CC(C(=O)NCC1=CC=CC=C1CCC(C(C(=O)N))C)C2=CC=C(N)C=C2,No matches found,,,
CC(C)C1=CC=C(C(=O)N)C=C1N2CCCC(C3=CC(C(CC(N)(N)))=CC=C3)=C2,No matches found,,,
C(N)C1=CC=CC=C1CCC2=CC=CC=C2C=CC=C(N)C(F)=C(N)C,No matches found,,,
C(=O)(N)CC1=CC=CC(C(=C(=O))C)=C1CC=CC(=O)NC(=O)C2=CC=CC=C2F,No matches found,,,
C(N)N(CC1=CC=CC(C(=O)N)=C1)C(=O)C2=CC=CC=C2NC3=CCC(C(N))=C3,No matches found,,,
CC(N)(C)C1=CC=CC=C1NCCNC2=NC(=O)CC=C2NC3=CC=CC=C3,No matches found,,,
CC1=CC=CC=C1CSC2=CC(C(=O)O)=CC=C2C3=CC4=CCCC=C4C(=O)C3,No matches found,,,
O=C(CC1=CC=CC=C1)NCC(C(=O)N)=CC2=CC=CC(=C2)C(N)3CCCC3,No matches found,,,
O=C(C=CC=C(C(=O)N)C=C(N)C1=CC=CC=C1)CCC2CC3=CC=CC=C3C2,No matches found,,,
O=C(CC1=CC=CC=C1)CCC(=O)C=C(C(=O)N)C2=CC=CC(C(C(C(C(=C)N))))=C2,No matches found,,,
O=C(CC1=CC=C(N)C=C1)C(C)C2=CC=CC(N)=C2CC3=CC=CC(C(=O)N)=C3,No matches found,,,
N#CC1=CC=CC(C(=O)N)=C1CC(=O)NC=C2C(=O)CCC3=CC=C(C(=O)(N))C=C32,No matches found,,,
N(C(=O))(CC1=CC(C(=O)N)=CC=C1)N2CCCN(C3=CC=C(C(=C)N)C=C3)C2,No matches found,,,
O=C(CC1=CC=CC(C(=C(N))C(C(=O)O))=C1)N2CCCC(C3=CC=C(N)C=C3)=C2O,No matches found,,,
O=C(CN)CNC(=O)CCCC1=CC=C(C(=O)N)C=C1C=CC2=CC3=CC=CC=C3C2,No matches found,,,
C(CC1=CC=C(C)C=C1)C(C)C2=CC=CN2C(=O)CC3=CC=CC(C(=O)N)=C3,No matches found,,,
C(C)CC1=CC=CC=C1CC=CC2=C(C(=O)N)C=CN=C2CC(=O)CC3=CC=CS3,No matches found,,,
O=C(N)C1=CC=CC=C1CCC2=CC=CC=C2C=CC(C(C(=C(N))C)(N)N),No matches found,,,
N(C(=O)C1CCCCC1)CCC2CC3=C(C(=C)N)C=CC=C3CC2,No matches found,,,
O=C(CC1=CC(C(N))=CC=C1)CCC=CC2=CC=CC=C2NC3=CC=C(N)CC3,No matches found,,,
CN(CC1=CCCC(C(=O)N)=C1C)C(=O)CCC(=O)C(=O)NCC2=CC=CC=C2F,No matches found,,,
CNC1=CN=C(N)N=C1CCCCC=C2CCCC3=CC=C(C(=O)N)C=C23,No matches found,,,
O=C(NC(=O)CC(=O)CC1=CC(C(=O)N)=CC=C1)C=CC2=CC3=CC=CC=C3C(=O)2,No matches found,,,
O=C(CNC=C1CC(=O)CC2=C1C=C(C(=O)N)C=C2)C3=CC(N)=CC=C3,No matches found,,,
CC(C)(N)C1=CC=CC=C1CCC(=C(C(=N)C))C2=CC(C(=O)N)=CC=C2C,No matches found,,,
CCC1=CC(N)=C(C(=O)N)C=C1CC(=O)CC=C(C)C2=NC3=CC=CC=C3S2,No matches found,,,
O=C(CC1=CC=CC=C1)NC(=O)CCC(C(=O)C(N))CC2=CC(C(=O)N)=CC=C2,No matches found,,,
C=C(CC1=CC=CC2=C1C=CC=C2)NCC3=CC4=CC=CC=C4C(N)(N)3,No matches found,,,
C(=O)(C(N))C1=CC=CC=C1CCC2=CC=CC=C2C=CC=CC(Cl)=C(N)C,No matches found,,,
CCC1=CC(=O)C(=C(C(=O)O))C=C1CCNC(=O)CC2CC3=CC=CC=C3C2,No matches found,,,
NC1=CC=CC=C1C(=O)NC(C)CC2=CC(C(C(C(=O)(N))))=C(N)C(C)=C2,No matches found,,,
NC(=O)N1C=CC=C1CNC(=O)CCC=C2CC(=O)[NH1]C3=CC=C(C(=O)N)C=C32,No matches found,,,
CC1=C(C(=C)N)C=CC=C1CCCCC(=O)C=CC2=CC3=CC=CC=C3C2,No matches found,,,
CC1=CC=CC=C1NCCCC=C2C(C(=O)C)=C(N)C=C2CCCCC(=O)(N),No matches found,,,
O=C(CC1=CC=CC(C(=C(N))N)=C1C)CCC=CC=CC2=CC=CC=C2Cl,No matches found,,,
NC1=C(N)C(C(=O)N)=CC2=C1CC(=O)N2CC(=C)NC(=O)C3=CC=CC(C)=C3,No matches found,,,
O=C(CCC1=CC=CC=C1)NCCC2=CC(C(=C(N)(C(C(=O)N)))N)=CCC2,No matches found,,,
NC1=CC=C(N)C=C1CC2=CC=CC=C2CNCC3=CC(N)=CC(=O)C3,No matches found,,,
CSC1=CC(C(=O)N)=CC=C1CC=CCCC2=CC3=CC=C(C(=O)N)C=C3C(=O)2,No matches found,,,
C(=O)(CC1=CC(C(=O)C(N))=CC=C1)N(C)C(=O)CCC2=CC=C(C(=C)C(C(=O)N))C=N2,No matches found,,,
CC1=C(C(=O)N)C=CC=C1C(=O)CCCC(=C(N))CC(=O)CC=CC2=CC=CC(F)=C2,No matches found,,,
CC(CC1=CC(C(=C(N))O)=CC=C1)N2CCC(CC3=CC=C(N)C=C3)CC2,No matches found,,,
C=C(CC1=CC=CC2=C1C=CC(N)=C(N)2)C=CC3=CC4=CC=CC=C4C3,No matches found,,,
N(=O)C1=C(C)C=C(N)C=C1CC2=CC=CC=C2CC(=O)NC3=NC=CC=C3,No matches found,,,
C=C(CCC(=O)NCC1=CC=CC=C1)C(=O)C=CC2=CC=C3C(C(=O)(N))=CSC3=C2,No matches found,,,
CC1=C(C(=O)N)C=CC=C1CC(=C(=O))CCC2=NC3=CC(C(C(=O)(N)))=CC=C3S2,No matches found,,,
C(C(=O)N)#CC1=CC=C(C(=O)N)C=C1CCCCC(=O)C2=CC3=CC=CC=C3C2,No matches found,,,
O=C(NCC1=CC=CC=C1)CCC=2CCC3=CC=CC(C(=C(N))N)=C3C=2,No matches found,,,
O=C(CC1=CC=CC=C1)C(=C)C2=CC=CC=C2C(=O)C3=CC(=O)CC(C(=O)N)=C3,No matches found,,,
CC(C(C(=O)N))CC1=C(N)C=CC=C1CCCC(=O)NC2=CC=CC(N)=C2,No matches found,,,
CCC1=CC=CC(C(=C)C)=C1CCNC(=O)CC2CCC3=CC=CC=C3C2(=O),No matches found,,,
CN(CC1=CC=C(C(=O)N)C=C1)C(=O)C2CCC(C3=CC(C(=O)N)=CC=C3)=C2,No matches found,,,
O=C(CC1=CC(C(=O)C(C(=O)N))=CC=C1)NC2CCC(C3=CC=CC=C3)=C(O)2,No matches found,,,
C(N)=C(CCC=C1C=CC=C(C(=O)N)1)CCCCCC(=O)NC2=CC=CC=C2,No matches found,,,
NC=CC=CCCC1=CC=C(C(=O)O)C=C1CC(=O)CC2=CC=CC(C(=C)N)=C2,No matches found,,,
O=C(NC1=CC=CC(C(=O)O)=C1)NCC2=CC(=O)CC=C2CCC3CCCCC3,No matches found,,,
CC(C)C1=CC=C(C(=O)N)C=C1N2CCNN(CCC3=CC=CC(C(=O)N)=C3C)C2,No matches found,,,
O=C(CC1=CC(N)=NC=C1)NCC=CC2=C(C(=O)N)C=CC=C2SC(=O)CCC,No matches found,,,
O=C(CCC1=CC=CC=C1)NCCC(C(=C(=O))C)CC2=CC(C(=O)N)=CC=C2,No matches found,,,
O=C(CC1=CC(C(=C(N)(N))N)=C(N)C=C1)N2CCCC(C3=CC=CC=C3)=C(N)2,No matches found,,,
C#CC1=CC=C(C(=O)N)C=C1CC(=C)C2=CC3=C(C(=O)O)C=C(C(C)C)C=C3[NH1]2,No matches found,,,
NC(=O)CCC(=O)CC=CC=CC1=CC=CC=C1N(C(=O)C2=CC=C(C(=O)O)C=C2C)C,No matches found,,,
C(=O)=C(C)C1=CCCC=C1C(=O)C2=CC=CC=C2CC3=CC(C(=O)N)=CC=C3,No matches found,,,
O=C(CC1=CC=C(C)C=C1)NCC2=CC(N)=CC=C2C3CC(C)CCC3,No matches found,,,
CCC1=CC=CC(C(=O)N)=C1C(=O)C=CC2=CC=CC=C2C=CC3=CC=CC(=O)3,No matches found,,,
CC(N)(C)C(N)=CCC(=O)CC1=CC=CC=C1C(=C)C2=CC=CC(C(C(=O)(N)))=C2,No matches found,,,
O=C(CC1=CC=CC=C1)CCC=CC2=C(C(=O)N)C=CC(=C2)C(=O)CCC(C)N,No matches found,,,
O=C(CC1=CC=CC=C1)NC2C=C(C(=O)C(C(C(=O)N)))C3=CC=CC=C32,No matches found,,,
C(=O)=C(C(=C)C1=CC(C(=O)N)=CC=C1)N2CCCC(C3=CC=CC(C(=O)(O))=C3)=N2,No matches found,,,
O=C(NCCCC(C(=O)C)CC1=CC(C(=O)N)=CC=C1)C(N)C2=CC=CC=C2,No matches found,,,
